Start time: 1745100748082
Connecting to host 34.86.116.81, port 5210
[  5] local 192.0.0.2 port 35928 connected to 34.86.116.81 port 5210
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-0.10   sec  1.92 MBytes   160 Mbits/sec    2   13.5 KBytes       
[  5]   0.10-0.20   sec  0.00 Bytes  0.00 bits/sec    0   13.5 KBytes       
[  5]   0.20-0.30   sec  0.00 Bytes  0.00 bits/sec    0   18.9 KBytes       
[  5]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    1   23.0 KBytes       
[  5]   0.40-0.50   sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]   0.50-0.60   sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]   0.60-0.70   sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]   0.70-0.80   sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]   0.80-0.90   sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]   1.00-1.10   sec  0.00 Bytes  0.00 bits/sec    1   1.35 KBytes       
[  5]   1.10-1.20   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
[  5]   1.20-1.30   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
[  5]   1.30-1.40   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
[  5]   1.40-1.50   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
[  5]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
[  5]   1.60-1.70   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
[  5]   1.70-1.80   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
[  5]   1.80-1.90   sec  0.00 Bytes  0.00 bits/sec    0   1.35 KBytes       
